Generation Number,Best Fitness,Average Fitness,Fitness Improvement,Diversity
0,0.014825796886582653,0.013328736419919121,0.0014970604666635322,66
1,0.015455950540958269,0.014014085724437799,0.0014418648165204703,65
2,0.015791551519936834,0.014591690969823587,0.0011998605501132471,57
3,0.01650846058605035,0.014878427992428712,0.001630032593621638,66
4,0.016927634363097757,0.015493501303524872,0.0014341330595728854,56
5,0.017406440382941687,0.015994240788938328,0.0014121995940033598,59
6,0.01799370220422852,0.01687990240030179,0.0011137998039267294,47
7,0.018975332068311195,0.017369357064622674,0.0016059750036885208,44
8,0.019203072491598656,0.018120084816889453,0.0010829876747092022,42
9,0.019389238972370333,0.01879297164137587,0.000596267330994462,30
10,0.01977261492832427,0.019049966492581963,0.0007226484357423062,29
11,0.01977261492832427,0.019367416302275956,0.00040519862604831286,24
12,0.019970044932601096,0.01942973794990841,0.000540306982692685,28
13,0.02032520325203252,0.019679647159599106,0.0006455560924334136,29
14,0.020586721564590838,0.02003072249705197,0.0005559990675388683,25
15,0.02107481559536354,0.02029824447103938,0.0007765711243241588,27
16,0.02107481559536354,0.02060419300919647,0.00047062258616707014,26
17,0.021299254526091587,0.02077445915237281,0.0005247953737187762,24
18,0.021413276231263382,0.020902198521396007,0.0005110777098673754,23
19,0.021470746108427266,0.021102709439011175,0.00036803666941609067,23
20,0.021645021645021644,0.021212702402884948,0.00043231924213669656,24
21,0.021941854086670324,0.021369736047503283,0.0005721180391670411,25
22,0.02206287920573635,0.02152388810955312,0.0005389910961832271,24
23,0.02218524681087077,0.02169215636372032,0.0004930904471504502,25
24,0.022371364653243846,0.021865833405296336,0.0005055312479475098,23
25,0.022753128555176336,0.02199042841502471,0.000762700140151628,25
26,0.02288329519450801,0.022121367416818784,0.0007619277776892246,25
27,0.023148148148148147,0.022445879938202587,0.0007022682099455599,24
28,0.023215322112594312,0.022645373849321974,0.0005699482632723386,25
29,0.023350846468184472,0.02277839810833418,0.0005724483598502916,25
30,0.02362669816893089,0.022857174122748358,0.0007695240461825341,27
31,0.02390914524805738,0.023098954653460336,0.000810190594597044,27
32,0.02405291641611545,0.023273854673931678,0.0007790617421837738,29
33,0.024125452352231604,0.023521430772841252,0.0006040215793903514,26
34,0.024125452352231604,0.02373069381029534,0.0003947585419362652,19
35,0.024271844660194174,0.023831242086479604,0.00044060257371457065,21
36,0.024271844660194174,0.02378207940525345,0.0004897652549407244,23
37,0.024271844660194174,0.023860073595858115,0.00041177106433605906,24
38,0.024271844660194174,0.023938221061856804,0.0003336235983373709,22
39,0.024345709068776627,0.023895673281025615,0.00045003578775101166,22
40,0.024345709068776627,0.023883838263072707,0.0004618708057039199,23
41,0.024345709068776627,0.023929074858302868,0.000416634210473759,22
42,0.024345709068776627,0.024027848932898013,0.0003178601358786136,19
43,0.02479851208927464,0.023960011246457812,0.0008385008428168292,24
44,0.02487562189054726,0.02407673984943224,0.0007988820411150219,22
45,0.02487562189054726,0.024299899612034253,0.0005757222785130085,22
46,0.025109855618330193,0.02440869631349877,0.0007011593048314238,24
47,0.025109855618330193,0.024578131758194798,0.0005317238601353948,21
48,0.025109855618330193,0.02478351538382343,0.0003263402345067626,18
49,0.025188916876574305,0.02476318938356913,0.0004257274930051756,22
50,0.02526847757422615,0.024715042382151952,0.0005534351920741983,22
51,0.025348542458808618,0.024925115011153104,0.0004234274476555139,19
52,0.025348542458808618,0.02487121307765033,0.0004773293811582875,22
53,0.025348542458808618,0.024911381685410044,0.0004371607733985733,21
54,0.025348542458808618,0.024928123844161088,0.0004204186146475296,23
55,0.025348542458808618,0.02500950053591866,0.00033904192288995716,21
56,0.025348542458808618,0.024858909425414914,0.0004896330333937042,20
57,0.025348542458808618,0.02495052001830732,0.0003980224405012965,19
58,0.025756600128783,0.02491114555353559,0.0008454545752474077,22
59,0.025756600128783,0.02493252313057023,0.0008240769982127694,25
60,0.025839793281653745,0.025060908513537896,0.0007788847681158492,25
61,0.025839793281653745,0.025262941011053038,0.0005768522706007077,22
62,0.025839793281653745,0.02543242145192705,0.0004073718297266937,20
63,0.025923525599481526,0.025389446751408907,0.0005340788480726194,24
64,0.025923525599481526,0.025416554309873066,0.0005069712896084606,22
65,0.025923525599481526,0.02545876642848254,0.0004647591709989879,21
